condition,drugName
Eczema,Pimecrolimus
Chronic Pain,Acetaminophen / oxycodone
Vaginal Yeast Infection,Monistat 7
Restless Legs Syndrome,Pramipexole
"Hypogonadism, Male",AndroGel
Urinary Tract Infection,Nitrofurantoin
Dental Abscess,Metronidazole
Bipolar Disorde,Ziprasidone
Headache,Acetaminophen / butalbital / caffeine
Hypersomnia,Nuvigil
Bronchitis,Moxifloxacin
Chronic Pain,Methadone
Pain,Celecoxib
Migraine,Aspirin / butalbital / caffeine
Allergic Rhinitis,Montelukast
Xerostomia,Saliva substitutes
ADHD,Atomoxetine
Breast Cance,Anastrozole
Sore Throat,Phenol
Anxiety,Duloxetine
Bowel Preparation,Magnesium sulfate / potassium sulfate / sodium sulfate
"Barrett's Esophagus",Lansoprazole
Depression,Nardil
ibromyalgia,Milnacipran
Pain,Oxymorphone
Pain/Feve,Acetaminophen / aspirin / caffeine
Birth Control,Levora
Birth Control,ParaGard
Urinary Tract Infection,Levaquin
Diverticulitis,Ciprofloxacin
Sinusitis,Avelox
Vaginal Yeast Infection,Acidophilus
Polycystic Ovary Syndrome,Metformin
Vaginal Yeast Infection,Terconazole
Bipolar Disorde,Saphris
Sinusitis,Augmentin
Anxiety,Lexapro
Influenza,Tamiflu
High Blood Pressure,Prazosin
"Hypothyroidism, After Thyroid Removal",Liothyronine
Generalized Anxiety Disorde,Seroquel
"Onychomycosis, Toenail",Terbinafine
Muscle Spasm,Valium
Pain,Norco
Progesterone Insufficiency,Progesterone
ADHD,Concerta
Birth Control,Ocella
ADHD,Strattera
GERD,Mylanta
Acne,TriNessa
Endometriosis,Goserelin
Bipolar Disorde,Quetiapine
"Hypogonadism, Male",Testim
"Nausea/Vomiting, Postoperative",Emend
Depression,Methylphenidate
Herpes Simplex,Acyclovir
"Constipation, Chronic",Linzess
Osteoarthritis,Orthovisc
Benign Prostatic Hyperplasia,Silodosin
Gastroparesis,Metoclopramide
"Gout, Acute",Indomethacin
Birth Control,Copper
Motion Sickness,Meclizine
Multiple Sclerosis,Gilenya
Birth Control,Microgestin Fe 1 / 20
Panic Disorde,Klonopin
Cough,Codeine / guaifenesin
Anxiety and Stress,Citalopram
"Crohn's Disease",Colazal
Headache,Fiorinal with Codeine
Insomnia,Zolpidem
Depression,Wellbutrin XL
Postmenopausal Symptoms,Climara Pro
Otitis Media,Clarithromycin
Upper Respiratory Tract Infection,Bactrim DS
Smoking Cessation,Varenicline
Upper Respiratory Tract Infection,Amoxicillin / clavulanate
Overactive Bladde,Tolterodine
Anxiety,Hydroxyzine
Birth Control,Blisovi Fe 1 / 20
Insomnia,Ramelteon
Psoriatic Arthritis,Infliximab
Erosive Esophagitis,Rabeprazole
GERD,Dexilant
Irritable Bowel Syndrome,Immune globulin oral
Pain,Nucynta
Pain,Hysingla ER
Stomach Ulce,Pantoprazole
Chronic Myelogenous Leukemia,Sprycel
Acne,Tri-Sprintec
Nausea/Vomiting,Zofran
Light Anesthesia,Versed
Urinary Tract Infection,Cipro
Chronic Pain,MS Contin
Multiple Sclerosis,Avonex
ADHD,Focalin XR
Birth Control,Junel Fe 1 / 20
Angina Pectoris Prophylaxis,Imdur
Anxiety,Diazepam
Constipation,Bisacodyl
Insomnia,Suvorexant
Paranoid Disorde,Risperidone
Birth Control,Sprintec
Paranoid Disorde,Risperdal
Rheumatoid Arthritis,Simponi
Osteoarthritis,Euflexxa
Pain,Diclofenac
Nausea/Vomiting,Dimenhydrinate
Extrapyramidal Reaction,Benztropine
Birth Control,Ortho Tri-Cyclen Lo
Pain,Ibuprofen
Migraine,Sumatriptan
Constipation,Polyethylene glycol 3350
Obesity,Xenical
Multiple Sclerosis,Glatiramer
Anxiety,Atarax
Birth Control,Orsythia
"High Cholesterol, Familial Heterozygous",Alirocumab
Anesthesia,Sublimaze
Birth Control,Ethinyl estradiol / etonogestrel
Postmenopausal Symptoms,femhrt
Pain,Lortab
Nausea/Vomiting,Haldol
Pain,Tapentadol
Pain,Ketorolac
Weight Loss,Phentermine
Depression,Effexor
Spondyloarthritis,Remicade
ibromyalgia,Flexeril
Upper Respiratory Tract Infection,SMZ-TMP DS
Benign Prostatic Hyperplasia,Dutasteride
Underactive Thyroid,Thyroid desiccated
Pain,Opana
Depression,Zyprexa
"Crohn's Disease",Vedolizumab
Smoking Cessation,Chantix
Opiate Dependence,Suboxone
Restless Legs Syndrome,Mirapex
Urinary Tract Infection,Uribel
Nasal Congestion,Vicks Sinex Nasal Spray (old formulation)
Urinary Tract Infection,Bactrim
Birth Control,Depo-Provera Contraceptive
Bacterial Infection,Ceftriaxone
Angina,Ranexa
"Diabetes, Type 2",Trulicity
Pain,Percocet
"Diabetes, Type 2",Sitagliptin
moterol / mometasone),Formoterol / mometasone
Insomnia,Ambien
Weight Loss,Belviq
Impetig,Retapamulin
"Conjunctivitis, Bacterial",Vigamox
Epilepsy,Levetiracetam
Eczema,Elidel
Post Traumatic Stress Disorde,Abilify Discmelt
Cough,Delsym 12 Hour Cough Relief
Alcohol Withdrawal,Baclofen
Psoriasis,Halobetasol
Allergic Rhinitis,Azelastine / fluticasone
Hyperhidrosis,Drysol
,Alavert D-12 Hour Allergy and Sinus
Ankylosing Spondylitis,Cimzia
Depression,Rexulti
Hemorrhoids,Proctofoam
Sinusitis,Cefdinir
Pain,Tramadol
Muscle Spasm,Norflex
Psoriasis,Humira
Multiple Sclerosis,Tecfidera
Headache,Acetaminophen / dichloralphenazone / isometheptene mucate
Acne,Benzoyl peroxide / clindamycin
Osteoarthritis,Methyl salicylate
Vaginal Yeast Infection,Monistat 3-Day Combination Pack
Acne,Clindamycin / tretinoin
Rhinitis,Flonase
Birth Control,Norethindrone
"Asthma, Maintenance",Alvesco
Oral Thrush,Nystatin
Emergency Contraception,EContra EZ
Hyperlipoproteinemia,TriCor
Insomnia,Diphenhydramine
Neutropenia Associated with Chemotherapy,Neulasta
Migraine,Zolmitriptan
Birth Control,Minastrin 24 Fe
Underactive Thyroid,Levothyroxine
Birth Control,Mononessa
Acne,Differin
Osteoporosis,Ibandronate
Sinusitis,Zithromax
Anxiety,Compazine
Migraine Prevention,Topamax
Psoriasis,Ustekinumab
Acne,Minocycline
Pain,Ultram ER
Irritable Bowel Syndrome,Nortriptyline
Reflex Sympathetic Dystrophy Syndrome,Pregabalin
Bowel Preparation,Suprep Bowel Prep Kit
"Hypothyroidism, After Thyroid Removal",Armour Thyroid
Birth Control,Jolessa
Rosacea,Mirvaso
Acne,Atralin
High Cholesterol,Crestor
Insomnia,Rozerem
Birth Control,Cryselle
GERD,Sucralfate
"Onychomycosis, Toenail",Efinaconazole
Urticaria,Cetirizine
Urinary Tract Infection,Amoxicillin
Muscle Spasm,Soma
Restless Legs Syndrome,Neupro
"Herpes Simplex, Suppression",Valacyclovir
High Blood Pressure,Toprol-XL
Narcolepsy,Sodium oxybate
Ulcerative Colitis,Mesalamine
Obesity,Orlistat
Pain,Butorphanol
Adult Human Growth Hormone Deficiency,Humatrope
Atrial Fibrillation,Diltiazem
Pain,Hydrocodone
ADHD,Ritalin
ADHD,Kapvay
Anxiety and Stress,Prozac
Pain,Vicodin
Polycystic Ovary Syndrome,Falmina
Back Pain,Relafen
Insomnia,Restoril
Migraine,Frovatriptan
High Blood Pressure,Losartan
Birth Control,Sharobel
Narcolepsy,Xyrem
Birth Control,Apri
Emergency Contraception,ella
"COPD, Maintenance",Spiriva
Chronic Myelogenous Leukemia,Tasigna
Eczema,Dupixent
Insomnia,Lorazepam
Anorexia,Cyproheptadine
High Cholesterol,Repatha
Constipation,Docusate
High Blood Pressure,Hydrochlorothiazide
Motion Sickness,Scopolamine
Period Pain,Flurbiprofen
"Breast Cancer, Adjuvant",Femara
Psoriasis,Methotrexate
Hyperhidrosis,Hypercare
"Asthma, acute",Epinephrine
Glaucoma,Brimonidine / timolol
Cough and Nasal Congestion,Mucinex D
High Blood Pressure,Azor
Pain,Voltaren
Major Depressive Disorde,Vortioxetine
Birth Control,Velivet
Birth Control,Necon 1 / 35
Bipolar Disorde,Seroquel XR
Urinary Incontinence,Detrol LA
"Onychomycosis, Toenail",Sporanox
Gout,Febuxostat
Irritable Bowel Syndrome,Eluxadoline
Pain,Neurontin
Nausea/Vomiting,Ondansetron
Human Papillomavirus Prophylaxis,Gardasil
Glioblastoma Multiforme,Avastin
Schizophrenia,Paliperidone
Birth Control,Nora-Be
Bacterial Infection,Penicillin v potassium
Rheumatoid Arthritis,Tofacitinib
Depression,"St. john's wort"
Atrial Fibrillation,Rythmol SR
High Cholesterol,Vytorin
Pain,Dilaudid
Anxiety,Vilazodone
Alcohol Withdrawal,Librium
Acne,Duac
Acne,Dapsone
Pain,Vicodin ES
Pain,Hydromorphone
Smoking Cessation,Zyban
GERD,Ranitidine
Rheumatoid Arthritis,Arava
,Acetaminophen / caffeine
ADHD,Adderall
Hereditary Angioedema,Ruconest
Cold Symptoms,Pseudoephedrine / triprolidine
Osteoarthritis,Etodolac
Depression,Emsam
High Blood Pressure,Diovan
Dry Skin,Ammonium lactate
Diabetes Insipidus,Desmopressin
Hepatitis C,Zepatier
Constipation,Magnesium hydroxide
Chronic Pain,Butrans
Migraine,Botox
Allergic Rhinitis,Azelastine
Non-Small Cell Lung Cance,Xalkori
Methicillin-Resistant Staphylococcus Aureus Infection,Zyvox
Urinary Tract Infection,Rocephin
Birth Control,Kyleena
"Diabetes, Type 2",Toujeo
GERD,Dexlansoprazole
Major Depressive Disorde,Brexpiprazole
Pain,Roxicodone Intensol
Migraine,Reglan
Bipolar Disorde,Divalproex sodium
Bacterial Vaginitis,Tindamax
Birth Control,Camrese
Bacterial Vaginitis,MetroGel-Vaginal
Erectile Dysfunction,Tadalafil
Atrial Fibrillation,Flecainide
Birth Control,Junel Fe 1.5 / 30
Bacterial Infection,Flagyl
Seborrheic Dermatitis,Ovace Plus
Insomnia,Secobarbital
"Diabetes, Type 2",Empagliflozin / linagliptin
HIV Infection,Raltegravir
,Tavaborole
Multiple Sclerosis,Ampyra
Osteoarthritis,Celebrex
"Gout, Acute",Colchicine
Bipolar Disorde,Geodon
Hyperhidrosis,Aluminum chloride hexahydrate
Insomnia,Tryptophan
Overactive Bladde,Myrbetriq
Malaria Prevention,Malarone
Major Depressive Disorde,Fetzima
Erosive Esophagitis,Omeprazole
Prevention of Dental Caries,Fluoride
"Diabetes, Type 2",Jardiance
Herbal Supplementation,Turmeric
,Acetaminophen / butalbital / caffeine / codeine
Birth Control,Desogestrel / ethinyl estradiol
Plaque Psoriasis,Secukinumab
Abnormal Uterine Bleeding,Ethinyl estradiol / norgestrel
"Raynaud's Syndrome",Nifedipine
Depression,Celexa
Asthma,Prednisone
Muscle Spasm,Methocarbamol
Psychosis,Haldol Decanoate
Birth Control,Beyaz
Plaque Psoriasis,Taclonex
"Addison's Disease",Decadron
Erectile Dysfunction,Vardenafil
Anxiety,Oxazepam
ADHD,Dexmethylphenidate
Prostate Cance,Firmagon
Dysuria,Phenazopyridine
"COPD, Maintenance",Tiotropium
ibromyalgia,Savella
Osteoarthritis,Cataflam
HIV Infection,Cobicistat / elvitegravir / emtricitabine / tenofovir
High Blood Pressure,Ramipril
Opioid-Induced Constipation,Relistor
Depression,Paxil
Psoriasis,Stelara
Migraine,Cambia
High Cholesterol,Ezetimibe
Period Pain,Mefenamic acid
moterol),Budesonide / formoterol
Acne,Doryx
Allergic Rhinitis,Dymista
"Asthma, Maintenance",Omalizumab
,Conjugated estrogens
Insomnia,Lunesta
Eczema,Mometasone
Nasal Congestion,Phenylephrine
Overactive Bladde,VESIcare
GERD,Kapidex
Birth Control,Errin
Diarrhea,Lomotil
emale Infertility,Clomid
Schizophrenia,Clozapine
Seasonal Allergic Conjunctivitis,Olopatadine
Opioid Overdose,Narcan Injection
Overactive Bladde,Mirabegron
ADHD,Wellbutrin SR
,Cyclobenzaprine
Bacterial Vaginitis,Tinidazole
Post Traumatic Stress Disorde,Asenapine
Bacterial Infection,Penicillin VK
Rosacea,Oxymetazoline
Dry Skin,EpiCeram
Insomnia,Temazepam
Overactive Bladde,Oxybutynin
Obstructive Sleep Apnea/Hypopnea Syndrome,Armodafinil
Hepatitis C,Epclusa
Multiple Sclerosis,Dalfampridine
Migraine Prevention,OnabotulinumtoxinA
Nausea/Vomiting of Pregnancy,Doxylamine / pyridoxine
Birth Control,Estarylla
Bacterial Infection,Vancomycin
Migraine,Naproxen / sumatriptan
Weight Loss,Fastin
Stomach Ulce,Protonix
Hot Flashes,Bazedoxifene / conjugated estrogens
Insomnia,Chloral hydrate
"Ulcerative Colitis, Active",Lialda
Migraine,Maxalt
Osteoporosis,Denosumab
Osteoporosis,Boniva
Head Lice,Sklice
Pseudotumor Cerebri,Acetazolamide
Prevention of Dental Caries,Clinpro 5000
"Parkinson's Disease",Zelapar
Allergic Rhinitis,Desloratadine
Herpes Simplex,Docosanol
Sciatica,Acetaminophen
Cance,Chaparral
Osteoarthritis,Hyaluronan
Bowel Preparation,Polyethylene glycol 3350 with electrolytes
Abnormal Uterine Bleeding,Mestranol / norethindrone
Insomnia,Melatonin
"Asthma, Maintenance",Symbicort
Birth Control,Lutera
Dry Skin,Emollients
"Diarrhea, Chronic",Colesevelam
Keratosis,Zyclara
Pain,Aspirin / caffeine
Herpes Simplex,Abreva
Depression,Isocarboxazid
Constipation,Correctol
Chronic Idiopathic Constipation,Plecanatide
Atrial Fibrillation,Xarelto
GERD,Prevacid
High Cholesterol,Simvastatin
Epilepsy,Carbatrol
"Diabetes, Type 2",Dapagliflozin
"Diabetes, Type 2",Tresiba
Rosacea,Oracea
Autism,Abilify
Pain,Meperidine
"Breast Cancer, Adjuvant",Tamoxifen
Hepatitis C,Harvoni
Basal Cell Carcinoma,Imiquimod
Overactive Bladde,Trospium
Depression,Limbitrol
GERD,Zegerid
Obesity,Diethylpropion
Osteoarthritis,Limbrel
Arrhythmia,Verapamil
Primary Ovarian Failure,Premarin
Pain,Pentazocine
Psoriatic Arthritis,Apremilast
"Asthma, Maintenance",Ciclesonide
"Diabetes, Type 2",Canagliflozin
Weight Loss,Megestrol
Birth Control,LoSeasonique
Plaque Psoriasis,Otezla
ADHD,Zenzedi
Nausea/Vomiting,Phosphorated carbohydrate solution
Influenza Prophylaxis,"Influenza virus vaccine, live, trivalent"
Depression,Deplin
"Gout, Acute",Methylprednisolone
Bipolar Disorde,Invega
Seborrheic Dermatitis,Cutar
Depression,Serzone
Pneumonia,Biaxin XL
Heart Failure,Coreg
Birth Control,Ortho Cyclen
Back Pain,Lorcet 10 / 650
"Breast Cancer, Adjuvant",Letrozole
Sinusitis,Cefuroxime
High Blood Pressure,Sectral
Overactive Bladde,Belladonna / opium
Overactive Bladde,Flomax
Emergency Contraception,My Way
Insomnia,Belsomra
Acne,Adapalene
Sedation,Promethazine
Chronic Pain,Fentanyl Transdermal System
ADHD,Desoxyn
Dystonia,Tegretol
,Latisse
Influenza,Oseltamivir
"Diabetes, Type 2",Kombiglyze XR
Alopecia,Minoxidil
Ankylosing Spondylitis,Enbrel
Plaque Psoriasis,Adalimumab
Birth Control,Xulane
Insomnia,Elavil
Pain,Endocet
Insomnia,Unisom SleepGels
"Diabetes, Type 2",Invokana
Nasal Congestion,Naphazoline
High Blood Pressure,Hydrochlorothiazide / telmisartan
Myasthenia Gravis,Mycophenolate mofetil
Atopic Dermatitis,Eucrisa
Schistosoma japonicum,Biltricide
High Blood Pressure,Bystolic
Sinus Symptoms,Ibuprofen / pseudoephedrine
Birth Control,Alesse
High Blood Pressure,Bisoprolol / hydrochlorothiazide
Allergic Rhinitis,Fexofenadine
Pain,Fentora
Cough,Guaifenesin
Hypersomnia,Modafinil
Pain,Kadian
Asthma,Dexamethasone
Diarrhea,Atropine / diphenoxylate
min / sitagliptin),Metformin / sitagliptin
Keratosis,Fluorouracil
Dermatitis,Clobetasol
Smoking Cessation,Commit
Birth Control,Tri-Lo-Sprintec
Cough and Nasal Congestion,Guaifenesin / phenylephrine
Allergic Rhinitis,Dexbrompheniramine / pseudoephedrine
Eye Redness,FreshKote
"Asthma, acute",Racepinephrine
Upper Respiratory Tract Infection,Keflex
Allergic Rhinitis,Fluticasone
"Diabetes, Type 2",Levemir
Erectile Dysfunction,Alprostadil
Restless Legs Syndrome,Carbidopa / levodopa
Menorrhagia,Tranexamic acid
GERD,Esomeprazole
Pain,Voltaren Gel
ADHD,Adderall XR
Skin Rash,Hydrocortisone
Anxiety,Remeron
HIV Infection,Genvoya
Condylomata Acuminata,Podofilox
Birth Control,Tri-Previfem
High Cholesterol,Atorvastatin
Muscle Spasm,Carisoprodol
Acne,Gildess Fe 1.5 / 30
Erectile Dysfunction,Viagra
NSAID-Induced Ulcer Prophylaxis,Famotidine / ibuprofen
Tinea Versicol,Selenium sulfide
Birth Control,Aubra
Rheumatoid Arthritis,Tocilizumab
Seizures,Lacosamide
"Hypogonadism, Male",Axiron
Rosacea,Finacea
Pain,Hydrocodone / ibuprofen
Sinusitis,Vantin
Insomnia,Silenor
Deep Vein Thrombosis,Rivaroxaban
Pain,Motrin
Irritable Bowel Syndrome,Cholestyramine
,Nor-QD
Anesthesia,Ketamine
Insomnia,Flurazepam
Multiple Sclerosis,Aubagio
High Blood Pressure,Nebivolol
Bacterial Vaginitis,Vandazole
Heart Attack,Clopidogrel
"Crohn's Disease",Imuran
Erectile Dysfunction,Avanafil
Muscle Spasm,Robaxin-750
High Blood Pressure,Hydrochlorothiazide / lisinopril
Pain,Targiniq ER
Birth Control,Drospirenone / ethinyl estradiol / levomefolate calcium
Asthma,Breo Ellipta
Migraine Prevention,Zonisamide
Pseudotumor Cerebri,Diamox
"Pulmonary Embolism, Recurrent Event",Warfarin
High Blood Pressure,Amlodipine
Light Sedation,Midazolam
Depression,Parnate
Emergency Contraception,Next Choice
Acute Lymphoblastic Leukemia,Gleevec
Opioid-Induced Constipation,Movantik
Hyperprolactinemia,Cabergoline
Emergency Contraception,Opcicon One-Step
Postmenopausal Symptoms,Vivelle-Dot
Atrophic Vaginitis,Estrace Vaginal Cream
Extrapyramidal Reaction,Trihexyphenidyl
Pain,Acetaminophen / propoxyphene
Schizophrenia,Invega Sustenna
Epilepsy,Mephobarbital
GERD,Nexium
"Diabetes, Type 2",Insulin glargine
Cough,Hydromet
Hepatitis B,Tenofovir
Alcohol Withdrawal,Chlordiazepoxide
Plaque Psoriasis,Taltz
Birth Control,Blisovi 24 Fe
Alcohol Dependence,Campral
Allergic Rhinitis,Loratadine / pseudoephedrine
Bowel Preparation,Sodium biphosphate / sodium phosphate
Osteoporosis,Risedronate
Multiple Myeloma,Lenalidomide
Prevention of Hypokalemia,Klor-Con
Edema,Furosemide
Breast Cance,Exemestane
Nausea/Vomiting of Pregnancy,Diclegis
Acne,Monodox
Urinary Retention,Bethanechol
Birth Control,Portia
Prevention of Thromboembolism in Atrial Fibrillation,Eliquis
Nausea/Vomiting,Prochlorperazine
Sciatica,Diclofenac / misoprostol
High Blood Pressure,Amlodipine / benazepril
ADHD,Adzenys XR-ODT
Multiple Sclerosis,Natalizumab
Acne,Aldactone
Nausea/Vomiting,Benadryl
High Cholesterol,Niaspan
Bowel Preparation,Citric acid / magnesium oxide / sodium picosulfate
Headache,Fioricet
Opiate Withdrawal,Clonidine
"Constipation, Acute",Lactulose
Cough and Nasal Congestion,Guaifenesin / pseudoephedrine
Allergic Rhinitis,R-Tanna
"Onychomycosis, Toenail",Jublia
High Blood Pressure,Atenolol
Overactive Bladde,Solifenacin
Pain,Lidoderm
Helicobacter Pylori Infection,Bismuth subcitrate potassium / metronidazole / tetracycline
Smoking Cessation,Nicotrol Inhaler
Endometriosis,Levlen
Ulcerative Colitis,Asacol
Birth Control,Viorele
Bipolar Disorde,Depakote ER
"Hypogonadism, Male",Fortesta
"Burns, External",Silvadene
Atrophic Vaginitis,Estring
Pain,Duragesic
Allergic Rhinitis,Xyzal
Extrapyramidal Reaction,Artane
"Melanoma, Metastatic",Tafinlar
Rheumatoid Arthritis,Orencia
Birth Control,Lyza
Trigeminal Neuralgia,Tegretol XR
Bronchitis,Ceftin
Atrial Flutte,Tambocor
Birth Control,Previfem
Hot Flashes,Duavee
Birth Control,Microgestin 1 / 20
Dry Eye Disease,Ocular lubricant
Hypertriglyceridemia,Vascepa
"Barrett's Esophagus",Protonix IV
Pruritus,HC-Derma-Pax
High Cholesterol,Welchol
"Hashimoto's disease",Tirosint
Carcinoid Tum,Sandostatin
Seasonal Allergic Conjunctivitis,Patanol
High Blood Pressure,Olmesartan
"Asthma, Maintenance",Xolair
High Blood Pressure,Irbesartan
Pain,Lidocaine
Irritable Bowel Syndrome,Librax
High Blood Pressure,Chlorthalidone
Muscle Pain,Naprelan
Osteoporosis,Prolia
HIV Infection,Dolutegravir
Bladder Infection,Cefpodoxime
Psoriasis,Clocortolone
Back Pain,Ultram
"Diabetes, Type 2",Afrezza
Multiple Sclerosis,Tysabri
Irritable Bowel Syndrome,Lactobacillus acidophilus
Colorectal Cance,Oxaliplatin
Arrhythmia,Mexiletine
Insomnia,Halcion
Adult Human Growth Hormone Deficiency,Somatropin
Postmenopausal Symptoms,Enjuvia
